,District,No of Positive cases,Lat,Long
240,WARANGAL,22.0,17.9806094,79.5982115
241,WARANGAL(RURAL),2.0,17.94854255,79.81612399359742
242,YADADRI,52.0,17.42819665,79.09049097612105
243,AGRA,44.0,27.1752554,78.0098161
244,AZAMGARH,3.0,26.02269675,83.02887343114848
245,BAGHPAT,2.0,28.97240405,77.33315284938224
246,BANDA,1.0,25.5008211,80.499762
247,BAREILLY,6.0,28.457876,79.40557093743058
248,BASTI,5.0,27.25,83.0
249,BULANDSHAHAR,3.0,28.5246712,77.5996529
250,FIROZABAD,4.0,27.17736635,78.38991197951182
251,Gautam Buddha Nagar,55.0,28.36760975,77.59740326369902
252,GHAZIABAD,13.0,28.711241,77.4445372
253,GHAZIPUR,3.0,25.603508400000003,83.50745404887138
254,HARDOI,1.0,27.33857665,80.0975264641719
255,Hapur,1.0,28.740612499999997,77.83542556519009
256,HATHRAS,4.0,27.57324325,78.11173866751716
257,JAUNPUR,3.0,25.7955927,82.48834097504385
258,KANPUR,7.0,26.4609135,80.3217588
259,LAKHIMPUR KHERI,1.0,27.985060150000002,80.75384538357649
260,LUCKNOW,10.0,26.8381,80.9346001
261,MAHARAJGANJ,6.0,27.09254225,83.56696261338257
262,MEERUT,25.0,28.916667,77.683333
263,MORADABAD,1.0,28.8638424,78.80577833091104
264,PILIBHIT,2.0,28.495207649999998,80.10754080018077
265,PRATAPGARH,3.0,25.75,81.75
266,SAHARANPUR,13.0,29.9880774,77.5081299470512
267,SHAHJAHANPUR,1.0,27.912633149999998,79.74656294869826
268,SHAMLI,6.0,29.5008816,77.34838258540861
269,VARANASI,4.0,25.3356491,83.0076292
270,DEHRADUN,11.0,30.3255646,78.0436813
271,HARIDWAR,1.0,29.9384473,78.1452985
272,NAINITAL,5.0,29.2031392,79.4176945
273,PAURI GARHWAL,1.0,29.84591115,78.70766746320547
274,UDHAM SINGH NAGAR,4.0,29.048098799999998,79.4313133223357
275,HOOGHLY,4.0,22.9052114,88.3760639
276,HOWRAH,7.0,22.5882216,88.323139
277,JALPAIGURI,4.0,26.626483649999997,88.73407701468993
278,Kalimpong,7.0,27.07169,88.4729
279,KOLKATA,29.0,22.54541245,88.3567751581234
280,NADIA,5.0,23.48454125,88.55676307470536
281,North Pargana,3.0,24.5,87.5
282,PASCHIM MEDINIPUR,2.0,22.3599134,87.41331447600871
283,PURBA MEDINIPUR,7.0,22.06382145,87.74573460267038
284,South Pargana,1.0,24.5,87.5
